dc_identifier,eid,prism_doi,pii,pubmed_id,orcid,link_self_href,link_scopus_href,link_scopus_citedby_href,prism_url,dc_title,first_author_name,prism_publicationname,prism_aggregationtype,prism_issn,prism_isbn,prism_volume,prism_issueidentifier,prism_pagerange,prism_coverdate,publication_year,publication_month,prism_coverdisplaydate,citedby_count,subtype,subtypedescription,first_affiliation_name,openaccess
SCOPUS_ID:85217357098,2-s2.0-85217357098,10.1038/s41598-024-83598-8,,39880851,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217357098,Dynamic simulation of breast behaviour during different activities based on finite element modelling of multiple components of breast,Chen J.,Scientific Reports,Journal,,nan,15,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:85217356934,2-s2.0-85217356934,10.1038/s41467-025-56621-3,,39885170,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217356934,"Highly sensitive, responsive, and selective iodine gas sensor fabricated using AgI-functionalized graphene",Chen Z.,Nature Communications,Journal,,nan,16,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:85217314980,2-s2.0-85217314980,10.4324/9781003544159-10,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217314980,Work-life (im)balance and existential (im)mobility: Hong Kong professional migrants in Australia,To Y.,Global Hong Kong: Post-2019 Migration and the New Hong Kong Diaspora,Book,,"[{'@_fa': 'true', '$': '[9781040324523, 9781032896892]'}]",,,123-142,2025-01-01,2025,1,,0,ch,Book Chapter,,0
SCOPUS_ID:85217310308,2-s2.0-85217310308,10.4324/9781003544159-5,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217310308,Hong Kong Christian migrants in search of identity and a home in the UK,To Y.,Global Hong Kong: Post-2019 Migration and the New Hong Kong Diaspora,Book,,"[{'@_fa': 'true', '$': '[9781040324523, 9781032896892]'}]",,,55-72,2025-01-01,2025,1,,0,ch,Book Chapter,,0
SCOPUS_ID:85217297961,2-s2.0-85217297961,10.4324/9781003544159-15,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217297961,"Conclusion: Hong Kong migration: Continuity, change, and controversy",To Y.,Global Hong Kong: Post-2019 Migration and the New Hong Kong Diaspora,Book,,"[{'@_fa': 'true', '$': '[9781040324523, 9781032896892]'}]",,,199-207,2025-01-01,2025,1,,0,ch,Book Chapter,,0
SCOPUS_ID:85217296584,2-s2.0-85217296584,10.4324/9781003544159,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217296584,Global Hong Kong: Post-2019 Migration and the New Hong Kong Diaspora,Chan Y.W.,Global Hong Kong: Post-2019 Migration and the New Hong Kong Diaspora,Book,,"[{'@_fa': 'true', '$': '[9781040324523, 9781032896892]'}]",,,1-212,2025-01-01,2025,1,,0,bk,Book,,0
SCOPUS_ID:85217282276,2-s2.0-85217282276,10.1016/j.rse.2025.114645,S0034425725000495,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217282276,Nighttime lights reveal substantial spatial heterogeneity and inequality in post-hurricane recovery,Zheng Q.,Remote Sensing of Environment,Journal,00344257,nan,319,,,2025-03-15,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217282214,2-s2.0-85217282214,10.13335/j.1000-3673.pst.2023.1806,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217282214,Harmonic Instability Analysis of Wind Farms and Electrified Railways Jointly Connected to the Power Grid,Liu J.,Dianwang Jishu/Power System Technology,Journal,10003673,nan,49,2,686-698,2025-02-05,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217281978,2-s2.0-85217281978,10.1016/j.spc.2025.02.001,S2352550925000235,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217281978,"Farmers’ decisions on crop residues utilization, greenhouse gases reduction and subsidy of crop residue-based bioenergy: An agent-based life cycle model",Zhang J.,Sustainable Production and Consumption,Journal,,nan,55,,24-36,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217277137,2-s2.0-85217277137,10.1016/j.rse.2025.114639,S0034425725000434,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217277137,Spectrotemporal fusion: Generation of frequent hyperspectral satellite imagery,Zhao S.,Remote Sensing of Environment,Journal,00344257,nan,319,,,2025-03-15,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217276466,2-s2.0-85217276466,10.1007/s10462-025-11109-w,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217276466,Artificial intelligence in four-dimensional imaging for motion management in radiation therapy,Yinghui W.,Artificial Intelligence Review,Journal,02692821,nan,58,4,,2025-04-01,2025,4,,0,ar,Article,,1
SCOPUS_ID:85217268619,2-s2.0-85217268619,10.1007/s12598-024-03052-6,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217268619,Theoretically probing intrinsic properties of γ′ phase in FeCoNiTiAl high-entropy alloys,Yu Q.,Rare Metals,Journal,10010521,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217268257,2-s2.0-85217268257,10.1007/s11426-024-2333-x,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217268257,Nanoimprint lithography-assisted block copolymer self-assembly for hyperfine fabrication of magnetic patterns based on L1<inf>0</inf>-FePt nanoparticles,Zhang J.,Science China Chemistry,Journal,16747291,nan,,,,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85217261310,2-s2.0-85217261310,10.1016/j.compstruct.2025.118919,S0263822325000844,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217261310,Multi-scale finite element modeling of cross-ply UHMWPE fiber composites under ballistic impact,Zhao C.Z.,Composite Structures,Journal,02638223,nan,357,,,2025-03-01,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217257224,2-s2.0-85217257224,10.1016/j.conbuildmat.2025.140305,S0950061825004532,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217257224,The assessment of the mechanical and durability properties of mortar prepared with carbon dioxide-treated recycled concrete-brick powder,Kong X.,Construction and Building Materials,Journal,09500618,nan,466,,,2025-03-07,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217254474,2-s2.0-85217254474,10.1016/j.jpainsymman.2025.01.007,S0885392425000119,39826588,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217254474,"Palliative Care for Severe Cutaneous Adverse Reactions (SCARs): Gaps, Challenges, and the Way Forward",Bayuo J.,Journal of Pain and Symptom Management,Journal,08853924,nan,69,4,e322-e324,2025-04-01,2025,4,,0,le,Letter,,0
SCOPUS_ID:85217253697,2-s2.0-85217253697,10.1007/s13178-025-01084-w,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217253697,"Understanding Sexual Prejudice Across European Nations: The Role of Religiosity, Democratic Values, and Happiness",Tuzov V.,Sexuality Research and Social Policy,Journal,18689884,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217246946,2-s2.0-85217246946,10.1021/acs.analchem.4c05056,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217246946,pH-Activatable NIR Hemicyanine for Mitochondria-Targeted Cancer Phototheranostics,Liu Y.,Analytical Chemistry,Journal,00032700,nan,97,6,3310-3318,2025-02-18,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217242199,2-s2.0-85217242199,10.1038/s41562-024-02099-w,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217242199,Combating China’s retraction crisis,Xu S.B.,Nature Human Behaviour,Journal,,nan,,,,2025-01-01,2025,1,,0,no,Note,,0
SCOPUS_ID:85217242015,2-s2.0-85217242015,10.1007/s11427-023-2586-x,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217242015,Skeletal muscle-specific Bambi deletion induces hypertrophy and oxidative switching coupling with adipocyte thermogenesis against metabolic disorders,Yao X.,Science China Life Sciences,Journal,16747305,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217239362,2-s2.0-85217239362,10.1002/lpor.202401817,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217239362,"Managing Surface Reconstruction Enables Bright, Stable, and Cost-Performance Perovskite Light-Emitting Diodes",Deng Y.,Laser and Photonics Reviews,Journal,18638880,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217238066,2-s2.0-85217238066,10.1007/s13349-025-00908-y,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217238066,Automated classification and localization of sewer pipe defects in small-sample CCTV imagery: an enhanced transformer-based framework,Ren Q.,Journal of Civil Structural Health Monitoring,Journal,21905452,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217235703,2-s2.0-85217235703,10.1016/j.actbio.2025.01.043,S1742706125000479,39880179,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217235703,Enhancing titanium dioxide nanotube array stability on dental implants through laser lithography–assisted microline patterning,Yin B.,Acta Biomaterialia,Journal,17427061,nan,195,,569-581,2025-03-15,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217224642,2-s2.0-85217224642,10.2196/62647,,39908541,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217224642,Detection of Alzheimer Disease in Neuroimages Using Vision Transformers: Systematic Review and Meta-Analysis,Mubonanyikuzo V.,Journal of Medical Internet Research,Journal,,nan,27,,,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85217224469,2-s2.0-85217224469,10.1016/j.apjon.2024.100652,S2347562524002749,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217224469,Preliminary testing for affiliate stigma scale: A reliable and valid stigma measure for caregivers of women with breast cancer,Bu X.,Asia-Pacific Journal of Oncology Nursing,Journal,23475625,nan,12,,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:85217220327,2-s2.0-85217220327,10.1007/s11440-025-02545-7,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217220327,Mechanical degradation and particle breakage of sandstone rockfill material under wetting–drying cycles,Yang F.,Acta Geotechnica,Journal,18611125,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217219743,2-s2.0-85217219743,10.13335/j.1000-3673.pst.2023.1687,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217219743,Low-frequency Stability Analysis and Enhancement of Vehicle-grid System Considering the Impact of SOGI,Zhang W.,Dianwang Jishu/Power System Technology,Journal,10003673,nan,49,2,699-708,2025-02-05,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217215140,2-s2.0-85217215140,10.1007/s11440-024-02508-4,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217215140,"Nanoscale interfacial tribology behavior between clay and sand: effects of cations, normal load and sliding velocity",He Z.,Acta Geotechnica,Journal,18611125,nan,,,,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85217211066,2-s2.0-85217211066,10.1007/s12221-024-00795-y,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217211066,Preparation and Performance Study of Polypropylene Yarn Sensors Based on a Metal–Organic Framework for Sulfite Detection,Chen C.,Fibers and Polymers,Journal,12299197,nan,26,2,537-546,2025-02-01,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217209261,2-s2.0-85217209261,10.1016/j.tws.2025.113065,S0263823125001594,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217209261,Effect of web openings on the patch loading resistance of QN 1803 high-strength stainless steel plate girders,Wang Y.,Thin-Walled Structures,Journal,02638231,nan,210,,,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217205621,2-s2.0-85217205621,10.1016/j.nedt.2025.106609,S0260691725000449,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217205621,Senior year nursing students' self-regulated learning in complex simulation-based palliative education: A qualitative study,Chung B.P.M.,Nurse Education Today,Journal,02606917,nan,147,,,2025-04-01,2025,4,,0,ar,Article,,0
SCOPUS_ID:85217204873,2-s2.0-85217204873,10.1007/s11357-024-01481-w,,39775603,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217204873,Genomic determinants of biological age estimated by deep learning applied to retinal images,Huang Y.,GeroScience,Journal,25092715,nan,,,,2025-01-01,2025,1,,0,ar,Article,,1
SCOPUS_ID:85217204779,2-s2.0-85217204779,10.1038/s41928-024-01317-7,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217204779,A flexible active-matrix X-ray detector with a backplane based on two-dimensional materials,Kim B.J.,Nature Electronics,Journal,,nan,8,2,147-156,2025-02-01,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217203699,2-s2.0-85217203699,10.1007/s12119-025-10313-8,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217203699,The Influence of Cultural and Mental Health Factors on the Prevalence of HIV/AIDS Among Older Men Who Have Sex with Men: A Systematic Review and Meta-analysis,Chan A.S.W.,Sexuality and Culture,Journal,10955143,nan,,,,2025-01-01,2025,1,,0,re,Review,,0
SCOPUS_ID:85217201386,2-s2.0-85217201386,10.1021/acs.est.4c08569,,39912241,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217201386,Impact of Snow on Underground Smoldering Wildfire in Arctic-Boreal Peatlands,Qin Y.,Environmental Science and Technology,Journal,0013936X,nan,59,8,3915-3924,2025-03-04,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217197845,2-s2.0-85217197845,10.1016/j.ijmecsci.2025.110024,S0020740325001109,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217197845,Analytical modelling of parallel multidirectional cutting of slender shafts,Cai W.,International Journal of Mechanical Sciences,Journal,00207403,nan,288,,,2025-02-15,2025,2,,0,ar,Article,,1
SCOPUS_ID:85217193970,2-s2.0-85217193970,10.1007/s11517-025-03294-1,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217193970,Finite element modeling of clavicle fracture fixations: a systematic scoping review,Zheng Y.,Medical and Biological Engineering and Computing,Journal,01400118,nan,,,,2025-01-01,2025,1,,0,re,Review,,1
SCOPUS_ID:85217190984,2-s2.0-85217190984,10.1016/j.artint.2025.104296,S0004370225000153,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217190984,IID prophet inequality with a single data point,Feng Y.,Artificial Intelligence,Journal,00043702,nan,341,,,2025-04-01,2025,4,,0,ar,Article,,0
SCOPUS_ID:85217159707,2-s2.0-85217159707,10.1007/s40558-024-00310-2,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217159707,Revisiting and exploring trust in the digital era: conceptualization and scale development of digital trust in hospitality and tourism,Lee M.,Information Technology and Tourism,Journal,10983058,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217157992,2-s2.0-85217157992,10.1177/10963480251313492,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217157992,Tourism Demand Forecasting in Normal and Crisis Times: Combining Bootstrap-Aggregating and Bayesian Approaches,Liu X.,Journal of Hospitality and Tourism Research,Journal,10963480,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217154777,2-s2.0-85217154777,10.1080/13683500.2025.2463122,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217154777,Tourist stereotype content and interaction in cross-cultural service encounters: the perspective of service providers,Zhang P.H.,Current Issues in Tourism,Journal,13683500,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217147518,2-s2.0-85217147518,10.1021/acssuschemeng.4c10372,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217147518,Integration of Radiative Cooling and Solar Heating in Thermal Management Films for Year-Round Energy Savings,Tan R.,ACS Sustainable Chemistry and Engineering,Journal,,nan,13,6,2604-2614,2025-02-17,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217129984,2-s2.0-85217129984,10.1021/acs.analchem.4c06469,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217129984,Discovery of Fatty Acid Translocase CD36-Targeting Near-Infrared Fluorescent Probe Enables Visualization and Imaging-Guided Surgery for Glioma,Tao T.,Analytical Chemistry,Journal,00032700,nan,97,6,3687-3695,2025-02-18,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217125215,2-s2.0-85217125215,10.1038/s41467-025-56322-x,,39865086,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217125215,Disorder-induced enhancement of lithium-ion transport in solid-state electrolytes,Chen Z.,Nature Communications,Journal,,nan,16,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:85217111897,2-s2.0-85217111897,10.1016/j.surfin.2025.105931,S2468023025001920,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217111897,Dependence of deformation and damage behaviors on nano scratch defects of monocrystalline 3C-SiC in fixed abrasive processes,Zhou P.,Surfaces and Interfaces,Journal,24680230,nan,59,,,2025-02-15,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217094907,2-s2.0-85217094907,10.1038/s41467-025-56483-9,,39865065,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217094907,Single soliton microcomb combined with optical phased array for parallel FMCW LiDAR,Chen J.,Nature Communications,Journal,,nan,16,1,,2025-12-01,2025,12,,0,ar,Article,,1
SCOPUS_ID:85217085955,2-s2.0-85217085955,10.1016/j.rcim.2025.102982,S0736584525000365,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217085955,"Integrating large language model and digital twins in the context of industry 5.0: Framework, challenges and opportunities",Chen C.,Robotics and Computer-Integrated Manufacturing,Journal,07365845,nan,94,,,2025-08-01,2025,8,,0,re,Review,,0
SCOPUS_ID:85217085786,2-s2.0-85217085786,10.1016/j.trc.2025.105018,S0968090X25000221,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217085786,Learning the on-demand adaptable matching range with a reinforcement learning,Liu Y.,Transportation Research Part C: Emerging Technologies,Journal,0968090X,nan,172,,,2025-03-01,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217085757,2-s2.0-85217085757,10.1016/j.autcon.2025.106035,S0926580525000755,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217085757,Biomechanical assessment of a passive back exoskeleton using vision-based motion capture and virtual modeling,Zhou Y.,Automation in Construction,Journal,09265805,nan,172,,,2025-04-01,2025,4,,0,ar,Article,,1
SCOPUS_ID:85217084998,2-s2.0-85217084998,10.1016/j.cemconres.2025.107825,S0008884625000444,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217084998,Self-healing performance of thermally damaged ultra-high performance concrete: Rehydration and recovery mechanism,Zhao X.,Cement and Concrete Research,Journal,00088846,nan,191,,,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217083777,2-s2.0-85217083777,10.1016/j.rser.2025.115460,S1364032125001339,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217083777,"Integrating power electronics-based energy storages to power systems: A review on dynamic modeling, analysis, and future challenges",Fu Q.,Renewable and Sustainable Energy Reviews,Journal,13640321,nan,213,,,2025-05-01,2025,5,,0,re,Review,,0
SCOPUS_ID:85217083135,2-s2.0-85217083135,10.1016/j.powtec.2025.120729,S003259102500124X,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217083135,Enhancing packing efficiency in coal water slurry systems through multi-model particle size distribution optimization,Zhao B.,Powder Technology,Journal,00325910,nan,455,,,2025-04-15,2025,4,,0,ar,Article,,0
SCOPUS_ID:85217082082,2-s2.0-85217082082,10.1088/1361-6501/ad9049,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217082082,High-precision roundness measuring system for tungsten ball tips with the diameter of less than 100 µm,Zu C.,Measurement Science and Technology,Journal,09570233,nan,36,1,,2025-01-31,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217080413,2-s2.0-85217080413,10.1139/cgj-2023-0567,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217080413,A novel consolidation analysis framework: universal function approximators regularized by physical principles,Zhang P.,Canadian Geotechnical Journal,Journal,00083674,nan,62,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217079999,2-s2.0-85217079999,10.1016/j.engstruct.2025.119889,S0141029625002792,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217079999,A state-of-the-art review of bridges subjected to earthquake fault ruptures,Lin Y.,Engineering Structures,Journal,01410296,nan,330,,,2025-05-01,2025,5,,0,re,Review,,0
SCOPUS_ID:85217079373,2-s2.0-85217079373,10.1016/j.displa.2025.102975,S0141938225000125,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217079373,Exploring user engagement by diagnosing visual guides in onboarding screens with linear regression and XGBoost,Lee L.H.,Displays,Journal,01419382,nan,87,,,2025-04-01,2025,4,,0,ar,Article,,0
SCOPUS_ID:85217076299,2-s2.0-85217076299,10.1016/j.aei.2025.103175,S1474034625000680,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217076299,Uncertainty quantification of aerosol jet 3D printing process using non-intrusive polynomial chaos and stochastic collocation,Zhang H.,Advanced Engineering Informatics,Journal,14740346,nan,65,,,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217067696,2-s2.0-85217067696,10.15251/DJNB.2025.201.89,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217067696,Modification in the efficiency of dye-sensitized solar cells (DSSCs) by H ions implantation on TiO<inf>2</inf> photoanode,Irfan M.,Digest Journal of Nanomaterials and Biostructures,Journal,,nan,20,1,89-101,2025-03-01,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217062775,2-s2.0-85217062775,10.4103/NRR.NRR-D-24-00942,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217062775,Bidirectional causality of physical exercise in retinal neuroprotection,Agadagba S.K.,Neural Regeneration Research,Journal,16735374,nan,20,12,3400-3415,2025-12-01,2025,12,,0,re,Review,,1
SCOPUS_ID:85217057720,2-s2.0-85217057720,10.1016/j.est.2025.115697,S2352152X25004104,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217057720,Model predictive control of large chiller plants for enhanced energy efficiency utilizing inherent cold storage of cooling systems,Lin X.,Journal of Energy Storage,Journal,,nan,113,,,2025-03-30,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217055927,2-s2.0-85217055927,10.1016/j.arrct.2025.100428,S2590109525000035,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217055927,Comparison Between a State-of-the-Art Mechanical 3D Scoliosis Correction Protocol and the Schroth Exercise on Spinal Flexibility of Patients With Adolescent Idiopathic Scoliosis: A Randomized Controlled Trial,Jie Y.,Archives of Rehabilitation Research and Clinical Translation,Journal,,nan,7,1,,2025-03-01,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217053135,2-s2.0-85217053135,10.1142/S0217590824490067,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217053135,HOW DOES ENVIRONMENTAL CONCERN AFFECT CORPORATE RESILIENCE? EVIDENCE FROM CHINA'S ENERGY SMEs,Deng Y.,Singapore Economic Review,Journal,02175908,nan,,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217051542,2-s2.0-85217051542,10.1016/j.compgeo.2025.107111,S0266352X25000606,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217051542,Probabilistic analysis of ground surface settlement induced by super large diameter shield tunneling based on 3D random finite element method,Shi J.K.,Computers and Geotechnics,Journal,0266352X,nan,181,,,2025-05-01,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217041524,2-s2.0-85217041524,10.1109/TGRS.2025.3536931,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217041524,Multiple Region Proposal Experts Network for Wide-Scale Remote Sensing Object Detection,Lin Q.,IEEE Transactions on Geoscience and Remote Sensing,Journal,01962892,nan,63,,,2025-01-01,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217041185,2-s2.0-85217041185,10.1002/pri.70035,,39921235,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217041185,Physiotherapists' Use of Attentional Focus Instructions and Feedback in the Philippines: A Survey Study,Eguia K.F.,Physiotherapy Research International,Journal,13582267,nan,30,2,,2025-04-01,2025,4,,0,ar,Article,,1
SCOPUS_ID:85217040150,2-s2.0-85217040150,10.1016/j.jobe.2025.112017,S2352710225002530,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217040150,A study on the mechanical properties of eco-friendly low-cost polyethylene fiber-reinforced engineered cementitious composites,Zhu M.,Journal of Building Engineering,Journal,,nan,102,,,2025-05-15,2025,5,,0,ar,Article,,0
SCOPUS_ID:85217037675,2-s2.0-85217037675,10.1016/j.istruc.2025.108356,S2352012425001705,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217037675,Effectiveness and robustness of using nonlinear pendulum tuned mass damper inerters for wind-induced vibration mitigation of high-rise buildings,Yang X.,Structures,Journal,,nan,73,,,2025-03-01,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217031244,2-s2.0-85217031244,10.1016/j.apenergy.2025.125483,S0306261925002132,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217031244,Machine learning assisted health status analysis and degradation prediction of aging proton exchange membrane fuel cells,Zhang F.,Applied Energy,Journal,03062619,nan,384,,,2025-04-15,2025,4,,0,ar,Article,,0
SCOPUS_ID:85217029817,2-s2.0-85217029817,10.1063/5.0250579,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217029817,Experimental study on the flow field inside soap bubble at different incident velocities,Zhao Q.,Physics of Fluids,Journal,10706631,nan,37,2,,2025-02-01,2025,2,,0,ar,Article,,0
SCOPUS_ID:85217027904,2-s2.0-85217027904,10.1016/j.eiar.2025.107852,S0195925525000496,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217027904,Exploring influencing factors of health resilience for urban buildings by integrated CHATGPT-empowered BERTopic model: A case study of Hong Kong,Shan T.,Environmental Impact Assessment Review,Journal,01959255,nan,112,,,2025-03-01,2025,3,,0,ar,Article,,0
SCOPUS_ID:85217013762,2-s2.0-85217013762,10.1016/j.ijft.2025.101107,S2666202725000552,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217013762,"Erratum to “Experimental and numerical studies on thermal behavior and performance assessment of Al<inf>2</inf>O<inf>3</inf>/H<inf>2</inf>O nanofluids in microchannels for cooling solutions” [International Journal of Thermofluids Volume 25 (2025) 101036](International Journal of Thermofluids (2025) 25, (S2666202724004750), (10.1016/j.ijft.2024.101036))",Yang A.S.,International Journal of Thermofluids,Journal,,nan,26,,,2025-03-01,2025,3,,0,er,Erratum,,1
SCOPUS_ID:85217007673,2-s2.0-85217007673,10.1145/3708495,,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217007673,"Distributed Machine Learning in Edge Computing: Challenges, Solutions and Future Directions",Tu J.,ACM Computing Surveys,Journal,03600300,nan,57,5,,2025-01-24,2025,1,,0,ar,Article,,0
SCOPUS_ID:85217006633,2-s2.0-85217006633,10.1016/j.jcou.2025.103037,S2212982025000216,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217006633,Analysis of CO<inf>2</inf> storage efficiency and performance of low carbon cement binders containing carbide slag and phosphorus slag,Liu G.M.,Journal of CO2 Utilization,Journal,22129820,nan,93,,,2025-03-01,2025,3,,0,ar,Article,,1
SCOPUS_ID:85217005003,2-s2.0-85217005003,10.1016/j.rse.2025.114640,S0034425725000446,0,,,,,https://api.elsevier.com/content/abstract/scopus_id/85217005003,GLOSTFM: A global spatiotemporal fusion model integrating multi-source satellite observations to enhance land surface temperature resolution,Meng Q.,Remote Sensing of Environment,Journal,00344257,nan,319,,,2025-03-15,2025,3,,0,ar,Article,,0
